author,message,timestamp
@quanphan4929,team b mina đi mid à,1:05:18
@ngovanthieu6856,team nó mạnh hơn rõ :))),1:05:33
@annastasianguyen1488,one shot no kill =))),1:05:47
@quanphan4929,mina mid:)),1:06:06
@annastasianguyen1488,voi mid đếi,1:06:16
@quanphan4929,để voi counter Grak :)),1:06:24
@quanphan4929,à voi đi mid lấy chiêu à:)),1:06:37
@quanphan4929,ôi trời ơi:)),1:07:19
@ngovanthieu6856,airi nhát thế,1:07:24
@kang2095,mù,1:07:40
@quanphan4929,airi đầu game mà,1:07:45
@annastasianguyen1488,=)),1:07:48
@tenho2728,:)),1:07:53
@NamTranThien-jy4eh,???,1:07:53
@kang2095,đau mắt vl,1:07:55
@FWLikenew,Lag =)),1:08:00
@vdhuyy_06-u5l,su su thái,1:08:04
@ngovanthieu6856,1 vạch máu thì 1 chém nội tại + chiêu 1 là đi,1:08:13
@quanphan4929,mạng dạo này chán quá anh nhẻ:)),1:08:28
@quanphan4929,c1 đầu game hồi tận 6s ý,1:08:57
@annastasianguyen1488,quá đã,1:09:05
@kang2095,team nó dí,1:09:07
@quanphan4929,ad tích nội tại cho mina:)),1:09:46
@sinnjaafee9752,"game khó, ko dễ đâu",1:09:56
@ngovanthieu6856,team bạn gần như couter hết :)),1:10:05
@NamTranThien-jy4eh,voi nó săn à gặp 3 game r,1:10:11
@quanphan4929,đc cái trận này airi free vì nhiều tank:)),1:10:23
@ngovanthieu6856,"airi kèo dưới yena mà, yena phù trú thì airi gãy",1:10:46
@tenho2728,lag:)),1:10:57
@lightd1404,Mien k r,1:11:00
@FWLikenew,Ơ,1:11:01
@quanphan4929,0-3 r anh Chiến:)))),1:11:01
@Snow12675,:))),1:11:10
@kang2095,0/3/4 =))),1:11:15
@sinnjaafee9752,elsu bắn vl,1:11:51
@quanphan4929,mù mắt;)),1:11:54
@annastasianguyen1488,thêm 1 mạng sp nữa a ơi =)),1:11:57
@congminhngo7952,vừa mina vừa voi trận này móm,1:12:04
@kang2095,áp lực =))))))))),1:13:03
@FWLikenew,Áp lực,1:13:04
@uctranphuc624,điệp viên 04,1:13:12
@annastasianguyen1488,áp lực team mình =)),1:13:15
@NamTranThien-jy4eh,lực cót,1:13:17
@sinnjaafee9752,áp lực team mình,1:13:17
@Trancuonglkabc,phế điên:)),1:13:52
@Hieu-HighLigh0,khi thần rug đi sp và cái kết ,1:14:38
@ngovanthieu6856,airi chém voi gãy kiếm :)),1:14:43
@annastasianguyen1488,nak gánh quá,1:15:06
@congminhngo7952,kéo hay ác,1:15:16
@Hieu-HighLigh0,thần rug đáng lẻ cầm grakk đi rug là xanh rồi tự nhiên đi sp ,1:15:19
@quanphan4929,kéo nak team mình về đc thì tốt anh nhẻ:))),1:15:20
@kang2095,mù mịa mắt =))))))),1:15:20
@FWLikenew,Thg ad lên đồ ngu luôn,1:15:37
@quangtrai2507,"kéo nak team mình về ""))",1:15:48
@kang2095,ko 1 tác dụng,1:15:53
@quanphan4929,2 con counter thành con lính ADC:)),1:16:01
@TruongGiao2808,Bị bắt cái bài r :))),1:16:02
@sinnjaafee9752,pick đầu grak tự sát,1:16:06
@ngovanthieu6856,nak ko lên giày kiên cường đi gãy l,1:16:17
@lightd1404,xong Sp thì dung hơn =))),1:16:29
@Hieu-HighLigh0,phéeee ,1:16:30
@NamTranThien-jy4eh,:)),1:16:31
@uctranphuc624,điệp viên 05 ,1:16:32
@quanphan4929,ko khác j con lính:))))),1:16:33
@annastasianguyen1488,nhót,1:16:33
@vdhuyy_06-u5l,phế điên,1:16:36
@congminhngo7952,ko 1 tác dụng,1:16:37
@TruongGiao2808,Khó vẽ nụ cười :))),1:16:39
@tiếnVũ-t6i,điệp viên,1:16:46
@quanphan4929,voi lên phép:)),1:16:48
@HuyHoangPham-vc6tw,nỗi niềm của grak,1:16:50
@sinnjaafee9752,lát ăn report ,1:16:52
@annastasianguyen1488,rank cao thì k con nào phế =)),1:16:56
@kang2095,điệp viên 056,1:17:03
@ngovanthieu6856,nak ko giày yena 1 combo die,1:17:19
@tiếnVũ-t6i,chấp người,1:17:22
@Hieu-HighLigh0,mai team lên clip đi rank gặp tuyển thủ phá game ,1:17:22
@lightd1404,nữa =)),1:17:25
@dellcovideo3756,?,1:17:26
@quanphan4929,anh này điệp viên r:)),1:17:30
@annastasianguyen1488,bài này counter cứng luôn ấy nhỉ,1:17:30
@kang2095,?,1:17:31
@tungduong9245,chưa hút được cái nào :)),1:17:31
@quochuy6462,quà quê:)),1:17:34
@tiếnVũ-t6i,điệp viên 066,1:17:35
@quanphan4929,0-6:)),1:17:36
@congminhngo7952,thần rừng bị hành,1:17:42
@quanphan4929,mina cứ gặp là kéo chết:)),1:17:48
@sinnjaafee9752,GG ở cài đặt,1:17:53
@quangtrai2507,sắp 0 10 r,1:17:53
@dailyyy09,Adc đẹp trai vì 0-6 :))),1:17:56
@Trancuonglkabc,"e mà làm bên gà e xóa acc a luôn""))",1:18:02
@uctranphuc624,thần rừng bị hành như yiwei,1:18:03
@FWLikenew,Grakk ko phế ADC phế,1:18:33
@quanphan4929,voi lên đồ dị v,1:18:46
@ngovanthieu6856,thanh niên nak rank 150* đẩy lẻ ko lên nổi cái giày :))),1:19:31
@quanphan4929,quà quê:))),1:19:35
@congminhngo7952,thua từ ban pick,1:19:44
@quanphan4929,0-7 r:)),1:19:49
@uctranphuc624,điệp viên 07,1:19:59
@Hieu-HighLigh0,4vs6 =)),1:20:02
@quanphan4929,ủa ad ko xuyên giáp à,1:20:14
@quangtrai2507,chết mina là win,1:20:26
@quanphan4929,ơ ad ko xuyên giáp bắn con mina kiểu j,1:20:29
@quannguyen1874,nghĩ sao pick lavile mà để cho team nó pick mina vậy :>?,1:20:32
@quangtrai2507,chết mina là win,1:20:33
@ngovanthieu6856,không sách luôn mà,1:20:40
