author,message,timestamp
@nhatminh4438,tuyển thủ buff bẩn công khai à,27:22
@MANHĐOÀN-p4i,mong bâng đừng có giải nghệ . bâng mà giải nghệ chắc tôi khóc luôn mất huhu,27:25
@taisui4632,cc gi moi 3p,27:32
@vuquanghuy9867,game gì z tr,27:32
@MANHĐOÀN-p4i,game 3 p,27:49
@hoangdinhhuy5661,????,27:56
@hangphuong4944,chó cưng của a đâu r,28:04
@hoangdinhhuy5661,th elsu đâu,28:05
@taisui4632,gì kì z,28:06
@tuankietmo6405,kk team bạn từ thiện sao à=))),28:12
@hangphuong4944,manhdoan nho t ko,28:15
@NguyenTrungDung-j6c,nhanh vậy,28:18
@MANHĐOÀN-p4i,có ,28:24
@dươnghoàng-q7j,Buf bẩn,28:29
@tanucong4560,lâu lắm thấy bâng live,28:30
@taisui4632,chuối free cực căng,28:30
@hangphuong4944,haha,28:31
@hoangdinhhuy5661,Bánh đừng giải nghệ mà,28:33
@MANHĐOÀN-p4i,hôm bữa bâng live bạn ko vào,28:42
@NguyenTrungDung-j6c,4p win game,28:46
@hangphuong4944,tui bận,29:00
@tanucong4560,meta raz thorne mạnh mà giải team mình k cầm hơi buồn anh bâng ư,29:05
@taisui4632,=))))))))),29:12
@khanhhuy5051,bà lạc ko đánh à,29:20
@MANHĐOÀN-p4i,mình lừa nó là cậu chủ bị ta bắt bỏ vào nồi giả cầy rồi,29:23
@tuankietmo6405,sgp lai cồn=)))),29:24
@Tezphuer,Lai Cồn :)))))))),29:26
@thanhthaooan4027,là cai .....,29:28
@hangphuong4944,kiki dâu r,29:38
@taisui4632,=)))))))))))),29:40
@MANHĐOÀN-p4i,xong nó coi mình là cậu chủ ủa nó luôn,29:44
@Mit3101,cai hào,29:52
@hangphuong4944,hahaha,29:57
@taisui4632,lạy bố,30:07
@Tezphuer,=))))))),30:07
@Quandaika97,Lai nònnnn,30:14
@NgocNgoc-gw6tu,Hư hỏng:)),30:15
@taisui4632,=))))))))),30:16
@hangphuong4944,bâng ơ,30:17
@tuankietmo6405,kk fan cứng=)))),30:19
@MANHĐOÀN-p4i,lát nữa nó vào liền,30:21
@brineplayminecraft,Ủa ai buff v,30:22
@hangphuong4944,cốn lài là j ạ,30:25
@taisui4632,><,30:31
@MANHĐOÀN-p4i,hôm trc nó cũng vào muộn,30:39
@youtubeisreal552,là (*),30:43
@taisui4632,=)))))))))),30:49
@Kryz3v,=))),30:50
@khanhhuy5051,=)) nản kèo,30:52
@chungtruong3736,:)))))))),31:08
@Tezphuer,=))))))))))))))),31:15
@ccn01.5cuccuong9,billow,31:17
@Kryz3v,"phải gì ạ, phải chiujuuuu",31:18
@taisui4632,=)))))))))))))))))))))))),31:23
@QuyênVũ-q9d,=)))),31:34
@hangphuong4944,bâng ơi,31:35
@hangphuong4944,flo đi,31:48
@taisui4632,kurapikachu di,32:01
@-DuyThang,ad,32:09
@nguyentanson2158,gà thì đừng fake ,32:11
@tuankietmo6405,team kiến tạo hightlight=))),32:27
@hangphuong4944,ai hỏi,32:27
@ltmtv7094,pick 2 con đó farm ỉa luôn,32:31
@Svtb-3lbt,vãi,32:40
@kakafc-fy5uz,trả tôi lai bâng của ngày xuâ đây,32:50
@hangphuong4944,xàm,32:50
@khongcongidenoi3681,ad đâu a,32:51
@hi_gnol.07,Lai cồn gà,32:53
@MANHĐOÀN-p4i,hihi nó sắp vào rồi,33:11
@hangphuong4944,ad đâu,33:16
@MANHĐOÀN-p4i,kiki sắp vào rồi,33:23
@hangphuong4944,kiki của t đâu,33:23
@kakafc-fy5uz,lúc bâng còn chơi với anh mã.....,33:36
@hangphuong4944,tao đang lén coi á,33:50
@MANHĐOÀN-p4i,khoảng 10 : 15 nó vào dừ mà,33:54
@Svtb-3lbt,nít thở đợi anh bâng đọc bình luận em,34:06
@kakafc-fy5uz,lúc dó tôi thấy sự khác khao cống hiến của bâng,34:27
@inhphucthangnguyen793,âu gâu,34:54
@longkhanhbui6153,?? :)),35:11
@nghiasosad7876,:)),35:13
@inhphucthangnguyen793,cậu chủ ơi,35:23
@MANHĐOÀN-p4i,kiki,35:23
@hangphuong4944,đù kiki của anh,35:23
@dqakt5,vậy mà ko gánh dc mấy t em sgp,35:36
@MANHĐOÀN-p4i,đó tao bảo rồi ,35:37
@artl8enquanmobile,"game mấy nay k hiểu s hay trúng tb v, trong giải cx mấy pha",35:37
@MANHĐOÀN-p4i,kiểu gì nó chả vào,35:47
@inhphucthangnguyen793,bảo gì,35:47
@MANHĐOÀN-p4i,lúc nãy tao bảo cậu chủ mày đợi 1 tý nó vào,36:22
@hangphuong4944,đù bé trọc bắn ak,36:22
@MANHĐOÀN-p4i,đúng vào thật,36:34
@hangphuong4944,hừm,36:46
@inhphucthangnguyen793,anh MANHĐOÀN ảnh nói là tao là cậu chủ của mày đó ạ,36:51
@hangphuong4944,kiki muốn ăn xương j,36:55
@MANHĐOÀN-p4i,hôm bữa tao troll ,37:16
@inhphucthangnguyen793, xương,37:34
@hangphuong4944,xương manhdoan nha,37:47
@MANHĐOÀN-p4i,xương gì,37:50
@inhphucthangnguyen793,....... ơ thì ,38:01
@hangphuong4944,xuong manhdoan,38:04
@MANHĐOÀN-p4i,ok,38:09
@hangphuong4944,manhdoan khóa cửa cận thận,38:22
@hoangnguyen-es2dh,fan flash nói anh hết thời rồi sao không giải nghệ đi kìa,38:34
@inhphucthangnguyen793,dạ được lấy dao chặt xương của anh MANHĐOÀN đi ạ,38:43
@tuankietmo6405,hay phán quá,38:47
@MANHĐOÀN-p4i,ăn thịt đại bàng dc ko,38:55
@hangphuong4944,xương ch.im nha,39:01
@MANHĐOÀN-p4i, ăn đi,39:12
@inhphucthangnguyen793,xương MANHĐOÀN xương MANHĐOÀN,39:38
@MANHĐOÀN-p4i,@hoangnguyen-es2dh:có thằng fan flash kìa ,39:45
@dqakt5,vippppppppp,39:54
@NamNguyễn-n7q,rù,39:57
@schro5375,ac,39:58
@artl8enquanmobile,cứ sầm sầm sầm sầm ra,40:02
@tuankietmo6405,đù vuýp,40:03
@NgocTu16183,Ghê,40:05
@NamNguyễn-n7q,rùa quá đka,40:06
@hangphuong4944,cút m đi thằng flash,40:13
@ĐẲNGCẤP-l3q,eras ai chs v,40:14
@LongThai-u2b,chất v,40:21
@EllieLuu-t4r,siu this,40:24
@hunglong8401,tss về sgb à,40:32
@laitranthanhmai,uây ghê tar,40:44
@haotian1111,ghê,40:48
