author,message,timestamp
@fanboyaba4423,like cho a3 đi,5:49
@hoangphaminh4146,anh ba em yêu anh nhiều lắm ,5:57
@BaoNguyen-ft3dv,Cam với màn hình nét quá abe ơi Like nèo,5:59
@BLUNTMB,Nói để chi???,5:59
@thaihienngo3022,2k5 view,6:04
@yoshino1169,rồi sao k chịu stream lên ?,6:08
@ngocvinhphan1204,Mới live 5p mà ae:))),6:09
@longpham-fv1ee,vay ma k stream,6:10
@rep.storm1,bữa chơi tới 7h sáng vcl =)),6:10
@nguyennguyen6902,ai can biiet onh no ch,6:11
@ThaiNguyen-mt7vk,sống h sa đéc,6:11
@TrongLion,GTA đi Abe,6:11
@libra3861,"Chơi game toàn giờ bên mỹ, k theo đc",6:11
@atNguyen-os3bw,Het thoi r,6:13
@vanngocdubai8873,em chào anh ba,6:13
@hoangthanhliem9788,boiz mỹ con,6:14
@huynguyen-mq4nn,chào a3 chúc anh buổi tối vv ,6:16
@_VoVanHuan-xv9kf,REACTION SAO NHẬP NGŨ ĐI ABE,6:18
@phatchau5932,:)),6:18
@thongbui3937,tối có xem film ko aba,6:19
@kawaguchimeijin51,2k5 views hết thời',6:20
@longphuoc4094,a ba chào em đi,6:24
@longtran3802,hello abe,6:25
@hoangphaminh4146,anh ba em yêu anh nhiều lắm ,6:25
@huykhoa471,anh trai ST nha mạy,6:26
@luuthieuky5,tối coi MV mới của BIGBANG anh ba ơi,6:26
@HieuNguyen2307,=)))))),6:26
@AnhTu-tj3ut,:)),6:27
@godfirtleelol4886,UUU,6:28
@tainguyenminh6769,cho kèo c1 đi thầy,6:29
@montenegro72,Lô ông già,6:29
@larlarlar7918,uwu,6:33
@hoinguyen9638,a Ba béo ị,6:34
@sfmcomeback2458,???,6:35
@dobao7172,:)))),6:35
@HCMUE_PLismine,:)),6:35
@duyha1734,có,6:36
@lvdung4107,=)),6:36
@nguyenhuynh5118,hói,6:36
@nhantrantrung2597,hello anh 3,6:36
@meobua1057,anh hói,6:37
@ThanhNguyen-lb1ox,hói-kun,6:37
@minho7608,Bóng loáng vl,6:37
@Shitpost2088,BIGBANG,6:37
@-NguyenVanucAnhA,=)),6:38
@taivomanh6745,lol lia chơi đến 7h sáng luoonnmaf,6:38
@magakino1vippro,hói chan,6:38
@hopngo5184,big bang,6:38
@fanboyaba4423,chói thật,6:39
@phomai1916,hói ha,6:39
@callments,Hói,6:43
@thonghoang7678,uu,6:44
@zel1444,:))),6:44
@vankhoi925,m hói,6:45
@KoS.99999,hói ác,6:45
@NN-re2tr,sáng chói = sói chán,6:45
@sanglephuoc3551,cấy đau vc,6:45
@thanhthuy8204,bóng mà có cái vết thâm,6:47
@kato9804,hói :)),6:47
@laivanminh2610,Hói,6:47
@16.minhqui72,m hói,6:48
@anhvuduc1663,vào game ik anh ba,6:48
@auphong1361,m hói,6:49
@phiakaka9172,m hói,6:51
@thongvo6765,4850_Võ Văn Huân sao nhap ngu reaction rui,6:51
@SnailOfficial,Nghiệp 30 shine hân hạnh tài trợ,6:51
@nhuinhthanh4953,m hói,6:52
@nghiado8085,ekip panda,6:52
@nguyenhieu-kv5tn,reaction BIGBANG ông già,6:52
@kiennguyenvan9026,cho e stk . e mời a cốc cafe,6:52
@minhchau0206-l4v,??? ,6:52
@buitien3477,MU,6:53
@phuongphanngoc4502,thầy xem petlean khúc cuooia,6:53
@tuanemoffical667,ừ,6:54
@DuyLe-Nana,??????????????,6:54
@qoab0204,nịnh,6:55
@xiao1260zzz,hom nay co war khong moi nguoi,6:55
@kietpham280,hois,6:58
@TuanAnhNguyen-ts1tt,basn ket ngu ak,6:58
@phuc1496,trán dồ,6:58
@luattrinh9205,Ekip,6:58
@haiduongvan1517,ekip,6:59
@LinhNguyen-ui9ns,hoi' ac',7:00
@duongbao2005,tứ kết,7:00
@not3pig901,=))),7:00
@hoqyet2411,m hoi,7:01
@Hoang-od7nl,Thôi,7:01
@TruongPhan-mq6oj,bán kết ??? ,7:01
@khungti2002,ekip gia đình,7:01
@Ntd29999,người nhà,7:01
@sofmthe2807,hói phan,7:01
@diiip6046,hói ác,7:02
@theo3585,Lô hói Phan,7:04
@hieuthanh8662,mu,7:05
@15sechi8,ê,7:05
@funnygaming2520,Mu ???,7:05
@tuanthai9033,BẢ AN ỦI THÔI,7:10
@minhtrietisme,factos,7:11
@voky4812,ê,7:11
@uchuynguyen1233,lol di,7:12
@HungNguyen-tg1kh,mu thi sang năm tin,7:12
@khoaanh502,bam,7:13
@ndh1004,SIMP,7:17
@phuochuynh4105,:)))),7:20
@nghiado8085,damnnnn,7:26
@phiakaka9172,sát boi,7:27
@_VoVanHuan-xv9kf,REACTION SAO NHẬP NGŨ ĐI ABE,7:28
@雪いいい,simp chúa,7:33
@FOREVER-ur5dr,simp lord,7:34
@TrongLion,mày non :)),7:36
@trangiaphu4085,sad boy,7:38
@dongquangtruong,đúng đúng,7:40
@hoangphaminh4146,anh ba em yêu anh nhiều lắm ,7:41
@vanphuongle884,chao aba,7:45
@tinnguyen863,uraaaaa,7:47
@atbui8002,đúng,7:47
@demoofficial2964,yêu anhhhhh,7:56
@umsilabum70,Hello ông già,7:56
@phomai1916,ekip,7:57
@hoanglebach2402,Ekip,7:58
@NN-re2tr,lùa gà r,8:04
@atmu7912,lên đồn ca,8:04
@60giay21,streamer mới nhú hả ae,8:05
@SnailOfficial,Nghiệp 30 shine chào abe,8:07
@nguyenngan1492,abe ơi mai em thi abe chúc em với  ,8:07
@ajinnajin4501,La la la la la la la la,8:07
@duykhangnguyen3201,:)),8:11
@duyha1734,:)))),8:11
@zel1444,:))))))),8:13
@vankhoi925,:)))))),8:13
@tainguyenminh6769,cho kèo c1 đi thầy,8:13
@nhannguyencao949,:))),8:14
@ThanhNguyen-lb1ox,??? ,8:14
@phucpham2052,:)),8:17
@tientrancong6324,:))),8:17
@ndh1004,:))),8:21
@nguyenhuynh5118,=))) factos,8:22
@PhongLe-qn8zy,reaction r,8:24
@taiton2113,abe con bán khô gà ko ???,8:25
@nguyenle7283,"khô gà ??, toàn ớt với lá chanh",8:25
@anhnguyen-xt5nb,mấy ngàn ???,8:29
@_VoVanHuan-xv9kf,REACTION SAO NHẬP NGŨ ĐI ABE,8:31
@minhat8000,cc,8:31
@TrongLion,Anh ba chơi kẹo không à :))),8:32
@angvinhxuyen4495,ko,8:32
@kawaguchimeijin51,hong bé ơi,8:32
@truongsinhnguyen6092,ko,8:33
@peterscrown1291,Hết thời,8:37
@buitien3477,không có thông báo abe,8:38
@hoangphamhuy4865,t5 đánh vsc kìa,8:38
@fanboyaba4423,thuê gái duo đi aba,8:38
@HungNguyen-tg1kh,5 ??,8:39
@trungnguyenduc5862,?????,8:40
@cauvanq0379,Aba nhớ e hok,8:40
@lexuanbacnd,URF giao lưu fan đi Abe,8:41
@TinNguyen-tf3hq,?,8:41
@hiepan9972,??,8:41
@huynhbiker9508,5k ???,8:41
@connhoc9355,nghỉ hộ,8:42
@vankhoi925,ko,8:42
@truongkiet7303,nghỉ đi,8:43
@hoangominh1980,260k hũ mà lời 5k :)),8:46
@thedongnguyen2679,lỗ ???,8:47
@baole7954,lời mấy ngàn ??/,8:47
@tiennguyenminh2372,hết thời,8:47
@hahahaha9841,5 tục,8:49
@zel1444,5k cl á,8:49
@truonghuynh5729,50k,8:49
@khoaanh502,sao nay stream nhìn rõ vậy aba,8:49
@KhoiLe06,5k cc,8:49
@tunghoangxuan266,?,8:50
@kato9804,5k??????,8:50
@NN-re2tr,1 hũ lời 50k,8:51
@emadridista5430,5?,8:51
@nhanang2176,sao nghe c panda nói lời 50k/hủ,8:51
@quocquanluu6026,lại pr bẩn,8:51
@duyha1734,bán xong bị chửi,8:52
@dongkhoi6921,50 con tin\,8:52
@concodeu13,giàu rồi bán buôn gì nữa,8:52
@ngominhphu6559,70k chắc lời 60k,8:53
@callments,tháng m lời 700tr mà ko lời ??????????????????,8:53
@boondoggle4106,kheeuf,8:54
@cuongvu1716,tháng cả 500 triệu bán chi nưa,8:54
@luuthieuky5,:V phước,8:54
@AssasingND,thôi thôi :v,8:55
@dungfourofficial6171,Ba mỡ phét,8:56
@NguyenKhanh-zr6ls,giàu ời,8:56
@trungtran057,5k đô,8:56
@huynguyen-mq4nn,ABA ƠI SE CÓ CƠ HỘI VÀO TOP 4 VCS KO ,8:56
@ex62zz7,lời 500k,8:57
@heisenberg9815,50k,8:58
@triminh1681,giau` r nghi ban gio ban bds,8:58
@giomay3675,???,8:59
@TungNguyen-lx8kh,LÂU LÂU THUA GÁI CHƠI ABe,8:59
@phamthanh7550,5k x 10,8:59
@yaiichi302,sgb,8:59
@manhmer,aba oi,8:59
@angkiet3397,aba có thiếu số 0 nào k,9:00
@NamNam-cc8dd,đâu có lời mấy ngàn mà là lời mấy trăm,9:02
@taivomanh6745,lời 50k,9:08
@_VoVanHuan-xv9kf,REACTION SAO NHẬP NGŨ ĐI ABE,9:08
@cyan3745,loi ,9:08
@cointokenchat6395,thôi mua tạm hóa để giúp aba,9:11
@nguyenhieu7014,có thật là 5k ko vậy trời,9:11
@kiettruong8046,55k,9:11
@ThanhNguyen-lb1ox,tuần này đánh 4 ngày aba,9:11
@fanboyaba4423,thuê gái duo đi aba lâu rồi chưa làm,9:11
@nguoibattu3591,5k ???,9:11
@toantoan5445,hủ 260k lời 200k,9:15
@danhnguyen1327,hủ nào 260 ??,9:16
@16.minhqui72,50 hay 500 ? 5k cl,9:17
@KONot-zd5vw,lời 50k 1 hộp hèn gì giàu là phải',9:17
@HungNguyen-tg1kh,5 x10 hay x20,9:18
@scottho9103,hello a3 ,9:18
@annhat504,50 chứ 5 đâu ra,9:19
@thuann705,lời 1 nửa,9:19
@hoangduong1412,loi 50k,9:19
@huuly1766,lá chanh vị khô gà,9:23
@BaoNguyen-ft3dv,Lịch VCS cập nhật lại rồi ABE,9:25
@toquocanh5152,lời 50k tôi chủ phân phối khô gà nha ae =)),9:26
@minhtunguyen5092,ppongs,9:26
@FOREVER-ur5dr,??,9:27
@kato9804,lời 5k$,9:28
@phamvanthang6196,anie giờ làm gì z abe?,9:28
@hungvu3320,5$ thi co',9:28
@khaly3080,3k view,9:29
@DanhNguyen-em2mg,:))),9:29
@vdc_luckysun,simp,9:33
@tiennguyennhat9803,tiền công 160k,9:34
@tiennguyenminh2372,:)))),9:34
@kirono7562,bamn,9:34
@atmu7912,SIMP,9:34
@zel1444,:))))),9:34
@nghiado8085,1 hộp lời 200k thì đúng hơn,9:35
@thuanphatnguyen7462,????,9:35
@trungtran057,vcl,9:36
@animeismylife5687,NTR,9:37
@ducanhle9306,Minh tâm thì quen,9:37
@cauvanq0379,1g all for one mở bát y abe,9:38
@chinhtranuc8891,chơi với bé Nhung hồi xưa đi anh Be :))))))))),9:38
@nguyenbachung6841,cố chấp,9:39
@donngnguyen1227,=)))))))))))),9:43
@phomai1916,???????,9:43
@LinhNguyen-ui9ns,vcl =)),9:43
@dodo0202,=)))),9:44
@atTran-qc7ol,:))),9:44
@dangkhoadoanduc2663,NTR,9:45
@sonlevan9957,simp chúa,9:45
@KoS.99999,lụy tình :>,9:45
@thonglee1104,=)),9:46
@thiennguyen-ml2rx,sgb thay hoi chua abe,9:47
@phamphuongpppp,vo,9:48
@emadridista5430,bamm,9:48
@lamhuy7320,clgt,9:53
@hungnguyenchan4674,chúa tể những chiếc sừng,9:55
@nhandaothien19,giàu rồi,10:01
@ThinhNguyen-yh7th,bamn,10:01
@ThanhTran-ji6ki,simp lỏ,10:05
@hoangphamhuy4865,DỰ ĐOÁN VCS ĐI,10:05
@khoaanh502,thuê bé thỏ đi aba,10:09
